782, 21.922092, 64.768204, 619, 26.951244, 62.738316
785, 38.470196, 44.384960, 159, 39.168510, 50.650459
788, 38.646149, 45.357506, 159, 39.168510, 50.650459
790, 51.714504, 47.394051, 142, 54.084072, 43.309135
791, 13.824399, 85.904907, 62, 17.488911, 81.810989
792, 39.696930, 63.344002, 255, 42.249165, 57.599930
794, 30.769947, 73.933441, 891, 35.737511, 70.158058
795, 70.213951, 37.348618, 38, 70.323280, 34.357376
796, 60.445686, 64.472740, 978, 54.420883, 63.042046
802, 50.755527, 58.563572, 906, 55.623417, 57.890957
804, 23.850531, 55.314941, 195, 28.001629, 59.214218
805, 69.854080, 33.691681, 38, 70.323280, 34.357376
811, 29.375881, 49.549755, 537, 31.524700, 53.526405
827, 36.783054, 74.744461, 891, 35.737511, 70.158058
840, 66.049576, 57.176647, 121, 60.886925, 54.553608
844, 33.300034, 60.506493, 348, 36.206470, 53.852703
850, 16.775837, 68.364876, 782, 21.922092, 64.768204
852, 43.136066, 59.039806, 380, 44.140114, 54.239559
854, 44.362949, 43.161385, 954, 46.018551, 46.163807
857, 63.417027, 29.861635, 958, 68.068703, 33.665462
871, 51.977463, 36.678852, 21, 55.211716, 35.795040
879, 43.595280, 66.006020, 681, 48.415173, 65.221054
886, 24.810997, 65.980011, 561, 27.602461, 63.673538
887, 43.693733, 43.650723, 954, 46.018551, 46.163807
891, 35.737511, 70.158058, 25, 37.537350, 66.709030
894, 12.525561, 75.380844, 501, 17.727139, 75.452126
898, 62.368656, 51.861279, 706, 62.332512, 47.816818
899, 57.076035, 55.235649, 755, 59.302700, 51.518364
904, 56.159622, 43.564808, 181, 56.383804, 39.206844
906, 55.623417, 57.890957, 899, 57.076035, 55.235649
907, 63.617970, 35.868626, 538, 67.844383, 34.958748
909, 21.240978, 84.311928, 14, 21.750818, 79.558769
911, 25.844337, 68.883392, 561, 27.602461, 63.673538
918, 50.270500, 56.310242, 458, 53.095551, 54.389248
920, 51.101261, 34.626385, 21, 55.211716, 35.795040
922, 60.038761, 33.461464, 668, 64.925308, 33.562950
923, 61.550041, 62.068951, 962, 60.069122, 55.659786
924, 38.421791, 44.980545, 159, 39.168510, 50.650459
926, 41.308880, 59.641102, 255, 42.249165, 57.599930
929, 73.479851, 34.402691, 38, 70.323280, 34.357376
954, 46.018551, 46.163807, 524, 50.532963, 42.501984
957, 18.397976, 66.844528, 782, 21.922092, 64.768204
958, 68.068703, 33.665462, 38, 70.323280, 34.357376
962, 60.069122, 55.659786, 898, 62.368656, 51.861279
964, 78.240196, 38.635502, 732, 73.061676, 38.889774
969, 67.802612, 39.419167, 38, 70.323280, 34.357376
978, 54.420883, 63.042046, 994, 56.934845, 57.326183
994, 56.934845, 57.326183, 755, 59.302700, 51.518364
995, 12.670765, 79.877884, 62, 17.488911, 81.810989
997, 50.169449, 70.737587, 176, 52.140232, 63.959381
1000, 61.840519, 33.837326, 668, 64.925308, 33.562950
